atom_type,atomic_energy
H,-0.5
B,-24.6558063233
C,-37.8471721362
N,-54.5844927043
O,-75.0612269042
Mg,-200.0794308021
P,-341.2581561901
S,-398.1065510747
Cl,-460.1373666360
